p_exposure,late_x,x_cate,pe_times_late,treatment,conversion,exposure
0.0326655395328998,0.0383032713202145,0.0028041130834289,0.0012511970235498,1,0,0
0.2394696325063705,0.0636951650973839,0.0800307263791594,0.0152530577783031,1,1,1
0.0124805578961968,0.0252696658469565,0.0004983103177684,0.0003153795276204,1,0,0
0.8552738428115845,0.0474226879451967,0.2281325474089202,0.040559384555343,1,0,0
0.0759899765253067,0.0794314723272292,0.0598528249593727,0.0060359957175167,1,0,0
0.1012523993849754,0.0508851067895209,0.0098073947794865,0.0051522391553997,1,0,0
0.012468310073018,0.0248307427301328,0.000519688049579,0.0003095973997026,1,0,0
0.8711508512496948,0.0701156158103492,0.1919940543686738,0.0610812783990822,1,0,0
0.1375573426485061,0.0006361040146523,0.0020831818807954,8.75007779036e-05,1,0,0
0.3989520370960235,0.0266627313760097,0.0016387138775121,0.0106371509970031,1,0,0
0.1113525852560997,0.0334511466748818,0.0012720331368444,0.003724871662029,1,0,0
0.0051804720424115,0.0305469974375239,0.0004320271268356,0.0001582478662047,1,0,0
0.0292652007192373,0.0334795677259701,0.0027008192923049,0.0009797862694938,1,0,0
0.0631458014249801,0.0476925419999901,0.0043812897889034,0.0030115837865839,1,0,0
0.0329788215458393,0.0131209024762104,0.0006013134672918,0.0004327119012833,1,0,0
0.0339796021580696,0.0155536837969208,0.0005922128830597,0.0005285079875117,1,0,0
0.0132201220840215,0.0251478025873596,0.0005020960801902,0.0003324570203497,0,0,0
0.0370032526552677,0.0209133241570478,0.0004930253664547,0.0007738610176447,1,0,0
0.008107385598123,0.0301427502703289,0.0004320316415659,0.0002443788994294,1,0,0
0.6102377772331238,0.006415933613586,0.0044401672301702,0.00391524506723,1,0,0
0.0469961427152156,0.0367089197420954,0.0029694641154744,0.0017251776311209,1,0,0
0.0073939482681453,0.0309511039471033,0.0004320226135806,0.0002288508614268,1,0,0
0.069766990840435,0.0421238197664601,0.0047201172203251,0.0029388521478107,1,0,0
0.0109721282497048,0.0287584115873731,0.0004320471014709,0.0003155409801944,0,0,0
0.0140278823673725,0.0296467399100607,0.0007632520060071,0.0004158809800344,1,0,0
0.0097916675731539,0.0274091539151182,0.0004977494155121,0.0002683813235982,1,0,0
0.4694584310054779,0.0199150282764699,0.0016783151486065,0.0093492779281013,1,0,0
0.1131567284464836,0.069709689425712,0.030191664529372,0.007888120396434,1,0,0
0.0517379492521286,0.0063652841821507,0.0006882014515722,0.0003293267499914,1,0,0
0.0102156233042478,0.0221535533677013,0.0008689520469505,0.0002263123560549,1,0,0
0.0164382047951221,0.0168445844651507,0.0005924431919098,0.0002768947291268,1,0,0
0.0193288400769233,0.02235336171052,0.0005083498690493,0.0004320645536842,1,0,0
0.1294374018907547,0.0566617866754107,0.0107342224870104,0.0073341544537533,1,0,0
0.0623691156506538,0.0016617517138158,0.0007193784300399,0.0001036419848216,1,0,0
0.0095387389883399,0.0276501979651699,0.000442231835614,0.0002637480213656,1,0,0
0.0132593689486384,0.0247209588617697,0.0007106536508495,0.0003277843143123,1,0,0
0.8937938213348389,0.0210271166671771,0.0682901875980636,0.0187939069576097,1,0,1
0.0075928368605673,0.0274634488251698,0.0004977487701367,0.000208525486558,0,0,0
0.0619044229388237,0.0125166640058768,0.0006882007910745,0.0007748368624029,1,0,0
0.0138273844495415,0.0202199831242593,0.0004930334929183,0.0002795894802223,1,0,0
0.5934921503067017,0.0016666489220295,0.0343148819663335,0.0009891430525416,1,0,0
0.0965121090412139,0.0798299124902469,0.0323783662613505,0.0077045532190092,0,0,0
0.0083312150090932,0.0308553928416726,0.0004320236825367,0.000257062911954,1,0,0
0.0118246544152498,0.0224522886507803,0.000499271590412,0.0002654905541269,1,0,0
0.2637197971343994,0.0098914599511239,0.0070372916588467,0.0026085738116734,1,0,0
0.0165333487093448,0.0298848403063083,0.0007632503727008,0.0004940964859072,1,0,0
0.0176949258893728,0.0185831951561782,0.0004936928347859,0.0003288282610763,1,0,0
0.0242812298238277,0.0172173675985263,0.0005029200906482,0.0004180588596211,1,0,0
0.0663384348154068,0.0091554804960289,0.0006783297126368,0.0006073602460895,1,0,0
0.0355507060885429,0.0177386049195682,0.0004933414195274,0.0006306199299163,1,0,0
0.0498695410788059,0.0114624817146233,0.0017399026129688,0.0005716287027324,1,0,0
0.0059895892627537,0.0304796408135844,0.0004320278790973,0.0001825605293496,0,0,0
0.0266921389847993,0.0329750077639534,0.0004568620767402,0.0008801734902602,1,0,0
0.0416237972676754,0.0213622021437743,0.0004997441913066,0.0008891759712235,0,0,0
0.816074788570404,0.0399965158963383,0.0738859560434444,0.0326401482536571,1,0,1
0.3673150837421417,0.0330173670752284,0.0014592753616584,0.0121277769521825,1,0,0
0.0141921257600188,0.0259645611438269,0.0004336429651262,0.0003684923170568,1,0,0
0.1557510197162628,0.0233017888154952,0.0101138209233257,0.0036292773692263,1,0,0
0.2110842317342758,0.0102665326689442,0.028181938766212,0.0021671031609989,1,0,0
0.0316197872161865,0.0330143614283632,0.0018121138395805,0.0010439070834431,1,0,0
0.0107355322688817,0.0286334530159829,0.0004320484969179,0.0003073953588225,1,0,0
